,Date,Description,Amount,Transaction Type,Category,Account Name
479,12/29/2018,Brewing Company,14.0,debit,Foods,Silver Card
487,01-05-2019,American Tavern,23.49,debit,Foods,Platinum Card
511,02-01-2019,Roadside Diner,9.47,debit,Foods,Silver Card
517,02-08-2019,Starbucks,3.0,debit,Foods,Platinum Card
518,02-08-2019,Thai Foods,27.47,debit,Foods,Platinum Card
520,02-11-2019,Starbucks,3.0,debit,Foods,Platinum Card
531,02/16/2019,Brewing Company,8.0,debit,Foods,Platinum Card
532,02/16/2019,American Tavern,32.75,debit,Foods,Platinum Card
543,02/27/2019,Roadside Diner,25.77,debit,Foods,Silver Card
550,03-05-2019,Fancy Foods,7.0,debit,Foods,Silver Card
557,03-12-2019,Bakery Place,3.02,debit,Foods,Platinum Card
562,03/14/2019,Brunch Foods,8.0,debit,Foods,Platinum Card
571,03/23/2019,Starbucks,5.2,debit,Foods,Platinum Card
574,03/27/2019,Brewing Company,49.63,debit,Foods,Platinum Card
577,03/30/2019,Starbucks,12.84,debit,Foods,Platinum Card
598,04/13/2019,Vietnamese Foods,20.64,debit,Foods,Platinum Card
606,04/22/2019,Brewing Company,14.4,debit,Foods,Silver Card
607,04/22/2019,Greek Foods,64.52,debit,Foods,Silver Card
611,04/27/2019,Brewing Company,40.0,debit,Foods,Platinum Card
613,04/27/2019,American Tavern,14.74,debit,Foods,Silver Card
632,05/13/2019,Fancy Foods,98.19,debit,Foods,Silver Card
633,05/13/2019,Greek Foods,23.11,debit,Foods,Silver Card
640,05/20/2019,American Tavern,32.53,debit,Foods,Silver Card
644,05/24/2019,Brunch Foods,8.0,debit,Foods,Platinum Card
647,05/27/2019,Mexican Foods,34.33,debit,Foods,Platinum Card
650,05/30/2019,American Tavern,34.82,debit,Foods,Platinum Card
652,06-03-2019,Starbucks,2.75,debit,Foods,Platinum Card
658,06-05-2019,Mexican Foods,23.24,debit,Foods,Platinum Card
659,06-06-2019,Starbucks,3.75,debit,Foods,Platinum Card
672,06/18/2019,Brewing Company,15.0,debit,Foods,Silver Card
680,06/24/2019,Brewing Company,15.0,debit,Foods,Silver Card
683,07-01-2019,Starbucks,7.0,debit,Foods,Silver Card
685,07-01-2019,Hawaiian Grill,24.97,debit,Foods,Silver Card
686,07-01-2019,Thai Foods,24.0,debit,Foods,Silver Card
691,07-05-2019,Brewing Company,19.0,debit,Foods,Silver Card
695,07-06-2019,Greek Foods,23.26,debit,Foods,Platinum Card
711,07/18/2019,Brunch Foods,8.82,debit,Foods,Platinum Card
714,07/19/2019,Mexican Foods,28.0,debit,Foods,Platinum Card
716,07/22/2019,Thai Foods,26.67,debit,Foods,Silver Card
718,07/24/2019,Starbucks,2.5,debit,Foods,Silver Card
722,07/29/2019,Fancy Foods,44.92,debit,Foods,Silver Card
730,08-03-2019,American Tavern,23.47,debit,Foods,Platinum Card
732,08-05-2019,Brewing Company,18.0,debit,Foods,Silver Card
742,08-12-2019,Thai Foods,26.67,debit,Foods,Silver Card
743,08/14/2019,Starbucks,2.75,debit,Foods,Platinum Card
751,08/17/2019,American Tavern,3.5,debit,Foods,Platinum Card
754,08/20/2019,Starbucks,2.75,debit,Foods,Platinum Card
756,08/23/2019,Starbucks,2.75,debit,Foods,Platinum Card
757,08/25/2019,Brunch Foods,39.43,debit,Foods,Platinum Card
759,08/29/2019,Starbucks,3.0,debit,Foods,Platinum Card
760,08/30/2019,Starbucks,2.75,debit,Foods,Platinum Card
764,08/31/2019,BBQ Foods,41.78,debit,Foods,Silver Card
767,09-03-2019,Fancy Foods,41.24,debit,Foods,Silver Card
769,09-05-2019,Starbucks,3.75,debit,Foods,Platinum Card
773,09-07-2019,Brewing Company,12.87,debit,Foods,Platinum Card
774,09-08-2019,Brewing Company,19.3,debit,Foods,Platinum Card
783,09/13/2019,Starbucks,2.75,debit,Foods,Platinum Card
794,09/19/2019,Brewing Company,40.81,debit,Foods,Platinum Card
795,09/19/2019,Starbucks,2.75,debit,Foods,Platinum Card
797,09/22/2019,SeaFoods Foods,131.1,debit,Foods,Platinum Card
804,09/30/2019,Starbucks,1.75,debit,Foods,Platinum Card
